period,series_id,category,measure,loan_product,rate_pct,source_url
2025-12,V122667822,Corporate credit,Outstanding balances,To regulated non-bank financial institutions,4.25,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667822,Corporate credit,Outstanding balances,To regulated non-bank financial institutions,4.22,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667822,Corporate credit,Outstanding balances,To regulated non-bank financial institutions,4.23,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667823,Corporate credit,Outstanding balances,Lease receivables,6.24,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667823,Corporate credit,Outstanding balances,Lease receivables,6.26,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667823,Corporate credit,Outstanding balances,Lease receivables,6.21,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667823,Corporate credit,Outstanding balances,Lease receivables,6.31,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667823,Corporate credit,Outstanding balances,Lease receivables,6.04,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667824,Corporate credit,Outstanding balances,Loans to individuals and others for business purposes,4.87,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667824,Corporate credit,Outstanding balances,Loans to individuals and others for business purposes,4.78,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667824,Corporate credit,Outstanding balances,Loans to individuals and others for business purposes,4.77,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667824,Corporate credit,Outstanding balances,Loans to individuals and others for business purposes,4.77,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667824,Corporate credit,Outstanding balances,Loans to individuals and others for business purposes,4.74,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667825,Corporate credit,Outstanding balances,Non-residential mortgages,4.77,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667825,Corporate credit,Outstanding balances,Non-residential mortgages,4.75,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667825,Corporate credit,Outstanding balances,Non-residential mortgages,4.73,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667825,Corporate credit,Outstanding balances,Non-residential mortgages,4.71,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667825,Corporate credit,Outstanding balances,Non-residential mortgages,4.7,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
